id:ID(Listing_Text),name,:LABEL
1527,"Amsterdamid:2818;picture_url:https://a0.muscache.com/pictures/10272854/8dcca016_original.jpg;host_identity_verified:t;neighbourhood:Amsterdam, North Holland, Netherlands;neighbourhood_cleansed:Oostelijk Havengebied - Indische Buurt;property_type:Private room in rental unit;room_type:Private room;accommodates:2;bathrooms_text:1.5 shared baths;bedrooms:1.0;beds:2.0;price:$59.00;City:Amsterdam;Country:Netherlands;State:Amsterdam, North Holland, Netherlands;",Listing_Text; Listing_Text
1528,"Amsterdamid:20168;picture_url:https://a0.muscache.com/pictures/69979628/fd6a3a80_original.jpg;host_identity_verified:t;neighbourhood:Amsterdam, North Holland, Netherlands;neighbourhood_cleansed:Centrum-Oost;property_type:Private room in townhouse;room_type:Private room;accommodates:2;bathrooms_text:1 private bath;bedrooms:1.0;beds:1.0;price:$106.00;City:Amsterdam;Country:Netherlands;State:Amsterdam, North Holland, Netherlands;",Listing_Text; Listing_Text
1529,"Amsterdamid:27886;picture_url:https://a0.muscache.com/pictures/02c2da9d-660e-451d-8a51-2f7a17469df7.jpg;host_identity_verified:t;neighbourhood:Amsterdam, North Holland, Netherlands;neighbourhood_cleansed:Centrum-West;property_type:Private room in houseboat;room_type:Private room;accommodates:2;bathrooms_text:1.5 baths;bedrooms:1.0;beds:1.0;price:$135.00;City:Amsterdam;Country:Netherlands;State:Amsterdam, North Holland, Netherlands;",Listing_Text; Listing_Text
1530,"Amsterdamid:28871;picture_url:https://a0.muscache.com/pictures/160889/362340f7_original.jpg;host_identity_verified:t;neighbourhood:Amsterdam, North Holland, Netherlands;neighbourhood_cleansed:Centrum-West;property_type:Private room in rental unit;room_type:Private room;accommodates:2;bathrooms_text:1 shared bath;bedrooms:1.0;beds:1.0;price:$75.00;City:Amsterdam;Country:Netherlands;State:Amsterdam, North Holland, Netherlands;",Listing_Text; Listing_Text
1531,"Amsterdamid:29051;picture_url:https://a0.muscache.com/pictures/162009/bd6be2f8_original.jpg;host_identity_verified:t;neighbourhood:Amsterdam, North Holland, Netherlands;neighbourhood_cleansed:Centrum-Oost;property_type:Private room in rental unit;room_type:Private room;accommodates:1;bathrooms_text:1 shared bath;bedrooms:1.0;beds:1.0;price:$55.00;City:Amsterdam;Country:Netherlands;State:Amsterdam, North Holland, Netherlands;",Listing_Text; Listing_Text
1532,"Amsterdamid:44391;picture_url:https://a0.muscache.com/pictures/97741545/39000c13_original.jpg;host_identity_verified:t;neighbourhood:Amsterdam, Noord-Holland, Netherlands;neighbourhood_cleansed:Centrum-Oost;property_type:Entire rental unit;room_type:Entire home/apt;accommodates:4;bathrooms_text:1.5 baths;bedrooms:2.0;beds:2.0;price:$240.00;City:Amsterdam;Country:Netherlands;State:Amsterdam, Noord-Holland, Netherlands;",Listing_Text; Listing_Text
1533,Amsterdamid:47061;picture_url:https://a0.muscache.com/pictures/268343/a08ce201_original.jpg;host_identity_verified:t;neighbourhood:De Baarsjes - Oud-West;neighbourhood_cleansed:De Baarsjes - Oud-West;property_type:Entire rental unit;room_type:Entire home/apt;accommodates:3;bathrooms_text:1.5 baths;bedrooms:2.0;beds:2.0;price:$120.00;City:Amsterdam;Country:Netherlands;State:De Baarsjes - Oud-West;,Listing_Text; Listing_Text
1534,"Amsterdamid:49552;picture_url:https://a0.muscache.com/pictures/a6d6d2ee-3196-4e3b-b0ec-d26b71d598ec.jpg;host_identity_verified:t;neighbourhood:Amsterdam, North Holland, Netherlands;neighbourhood_cleansed:Centrum-West;property_type:Entire guest suite;room_type:Entire home/apt;accommodates:3;bathrooms_text:1 bath;bedrooms:2.0;beds:2.0;price:$157.00;City:Amsterdam;Country:Netherlands;State:Amsterdam, North Holland, Netherlands;",Listing_Text; Listing_Text
1535,Amsterdamid:49790;picture_url:https://a0.muscache.com/pictures/1146105/2c19e898_original.jpg;host_identity_verified:t;neighbourhood:De Baarsjes - Oud-West;neighbourhood_cleansed:De Baarsjes - Oud-West;property_type:Boat;room_type:Entire home/apt;accommodates:4;bathrooms_text:1 bath;bedrooms:2.0;beds:2.0;price:$250.00;City:Amsterdam;Country:Netherlands;State:De Baarsjes - Oud-West;,Listing_Text; Listing_Text
1536,Amsterdamid:50523;picture_url:https://a0.muscache.com/pictures/290179/a6be901e_original.jpg;host_identity_verified:t;neighbourhood:Centrum-West;neighbourhood_cleansed:Centrum-West;property_type:Private room in bed and breakfast;room_type:Private room;accommodates:2;bathrooms_text:1 private bath;bedrooms:1.0;beds:1.0;price:$118.00;City:Amsterdam;Country:Netherlands;State:Centrum-West;,Listing_Text; Listing_Text
1537,"Amsterdamid:55621;picture_url:https://a0.muscache.com/pictures/9113693/9c8e2b10_original.jpg;host_identity_verified:t;neighbourhood:Amsterdam, North Holland, Netherlands;neighbourhood_cleansed:De Pijp - Rivierenbuurt;property_type:Entire rental unit;room_type:Entire home/apt;accommodates:4;bathrooms_text:1 bath;bedrooms:2.0;beds:2.0;price:$222.00;City:Amsterdam;Country:Netherlands;State:Amsterdam, North Holland, Netherlands;",Listing_Text; Listing_Text
1538,"Amsterdamid:55709;picture_url:https://a0.muscache.com/pictures/14896636/c2667327_original.jpg;host_identity_verified:t;neighbourhood:Amsterdam, North Holland, Netherlands;neighbourhood_cleansed:Centrum-Oost;property_type:Entire loft;room_type:Entire home/apt;accommodates:3;bathrooms_text:1.5 baths;bedrooms:1.0;beds:1.0;price:$100.00;City:Amsterdam;Country:Netherlands;State:Amsterdam, North Holland, Netherlands;",Listing_Text; Listing_Text
1539,"Amsterdamid:55868;picture_url:https://a0.muscache.com/pictures/411347/2c516428_original.jpg;host_identity_verified:t;neighbourhood:Amsterdam, North Holland, Netherlands;neighbourhood_cleansed:Zuid;property_type:Entire rental unit;room_type:Entire home/apt;accommodates:4;bathrooms_text:1.5 baths;bedrooms:2.0;beds:2.0;price:$149.00;City:Amsterdam;Country:Netherlands;State:Amsterdam, North Holland, Netherlands;",Listing_Text; Listing_Text
